G24;Astronomía y computación ;Matemáticas y computación ;Biología y computación ;Economía y computación ;Periodismo, comunicación y datos;Nuevas tecnologías de comunicación ;Lingüística y computación ;
G25;Astronomía y computación ;Nuevas tecnologías de comunicación ;Matemáticas y computación ;Biología y computación ;Economía y computación ;Lingüística y computación ;Periodismo, comunicación y datos;
G25;Matemáticas y computación ;Astronomía y computación ;Economía y computación ;Biología y computación ;Nuevas tecnologías de comunicación ;Lingüística y computación ;Periodismo, comunicación y datos;
G23;Biología y computación ;Astronomía y computación ;Matemáticas y computación ;Periodismo, comunicación y datos;Nuevas tecnologías de comunicación ;Lingüística y computación ;Economía y computación ;
G24;Matemáticas y computación ;Economía y computación ;Astronomía y computación ;Biología y computación ;Lingüística y computación ;Periodismo, comunicación y datos;Nuevas tecnologías de comunicación ;
G23;Lingüística y computación ;Astronomía y computación ;Economía y computación ;Matemáticas y computación ;Periodismo, comunicación y datos;Nuevas tecnologías de comunicación ;Biología y computación ;
G24;Matemáticas y computación ;Economía y computación ;Astronomía y computación ;Biología y computación ;Lingüística y computación ;Nuevas tecnologías de comunicación ;Periodismo, comunicación y datos;
G23;Astronomía y computación ;Nuevas tecnologías de comunicación ;Matemáticas y computación ;Biología y computación ;Lingüística y computación ;Periodismo, comunicación y datos;Economía y computación ;
G23;Astronomía y computación ;Nuevas tecnologías de comunicación ;Matemáticas y computación ;Biología y computación ;Lingüística y computación ;Economía y computación ;Periodismo, comunicación y datos;
G25;Matemáticas y computación ;Economía y computación ;Biología y computación ;Lingüística y computación ;Astronomía y computación ;Nuevas tecnologías de comunicación ;Periodismo, comunicación y datos;
G23;Astronomía y computación ;Economía y computación ;Matemáticas y computación ;Lingüística y computación ;Nuevas tecnologías de comunicación ;Periodismo, comunicación y datos;Biología y computación ;
G23;Economía y computación ;Lingüística y computación ;Matemáticas y computación ;Biología y computación ;Nuevas tecnologías de comunicación ;Periodismo, comunicación y datos;Astronomía y computación ;
G23;Matemáticas y computación ;Astronomía y computación ;Lingüística y computación ;Economía y computación ;Nuevas tecnologías de comunicación ;Biología y computación ;Periodismo, comunicación y datos;
G23;Biología y computación ;Lingüística y computación ;Nuevas tecnologías de comunicación ;Astronomía y computación ;Economía y computación ;Periodismo, comunicación y datos;Matemáticas y computación ;
